"","gene.symbol","cell.type","gene.weight","ensembl.id"
"447","KRTAP12-4","B",0.121249115466235,"ENSG00000212933"
"448","GOLGA7B","B",0.136314763117185,"ENSG00000155265"
"450","LINC02139","B",0.119601880797372,"ENSG00000278214"
"451","SUSD4","B",0.137620464847052,"ENSG00000143502"
"452","GLIS3","B",0.131327874342024,"ENSG00000107249"
"453","PTPRA","B",0.134563564936461,"ENSG00000132670"
"454","VCAN","B",0.120177199739367,"ENSG00000038427"
"455","CST7","B",0.119530999330155,"ENSG00000077984"
"456","HRH2","B",0.0826441362675874,"ENSG00000113749"
"457","SIGLEC7","B",0.109075408325409,"ENSG00000168995"
"458","NPAS2","B",0.0840823616963174,"ENSG00000170485"
"459","LPAR1","B",0.118488139669385,"ENSG00000198121"
"460","C5AR1","B",0.0775906921297259,"ENSG00000197405"
