"","gene.symbol","cell.type","gene.weight","ensembl.id"
"212","CD300LB","8T",0.0613737262963338,"ENSG00000178789"
"213","CD300LF","8T",0.0538589716607673,"ENSG00000186074"
"214","CD86","8T",0.0969960207073524,"ENSG00000114013"
"215","CLEC4A","8T",0.0915328687732394,"ENSG00000111729"
"216","CLEC5A","8T",0.0880352729118768,"ENSG00000258227"
"217","CLEC7A","8T",0.0391836444098873,"ENSG00000172243"
"218","CNR2","8T",0.0819694289522132,"ENSG00000188822"
"219","CPNE4","8T",0.0971048536205308,"ENSG00000196353"
"220","CSF2RB","8T",0.07784292488823,"ENSG00000100368"
"221","CYP1B1-AS1","8T",0.0864611873864046,"ENSG00000232973"
"222","DAPK1","8T",0.0443929974900639,"ENSG00000196730"
"223","DOK3","8T",0.057509501283513,"ENSG00000146094"
"224","ETV3L","8T",0.0716799428538731,"ENSG00000253831"
"225","FAM20A","8T",0.0860866115363962,"ENSG00000108950"
"226","FCAR","8T",0.0460905077270432,"ENSG00000186431"
"227","FCER1G","8T",0.0396895967515607,"ENSG00000158869"
"228","FCGR2A","8T",0.0876904935343903,"ENSG00000143226"
"229","FCN1","8T",0.0609875544714338,"ENSG00000085265"
"230","FGD4","8T",0.0846217276037578,"ENSG00000139132"
"231","FPR1","8T",0.0750856980697765,"ENSG00000171051"
"232","FZD1","8T",0.0952055116773287,"ENSG00000157240"
"233","G0S2","8T",0.0698417769971332,"ENSG00000123689"
"234","HCK","8T",0.0546725525921936,"ENSG00000101336"
"235","HLA-DRA","8T",0.0913719158748849,"ENSG00000204287"
"236","HLX","8T",0.0364691455564146,"ENSG00000136630"
"237","IFI30","8T",0.0784518048068721,"ENSG00000216490"
"238","IGSF6","8T",0.0915476575498504,"ENSG00000140749"
"239","IL1B","8T",0.0196759571051945,"ENSG00000125538"
"240","IRAK3","8T",0.0832061297636136,"ENSG00000090376"
"241","ITGAX","8T",0.0594018559809965,"ENSG00000140678"
"242","ITIH1","8T",0.0665231974140728,"ENSG00000055957"
"243","JAG1","8T",0.0714881884922724,"ENSG00000101384"
"244","KCNE1","8T",0.0832687819086181,"ENSG00000180509"
"245","KHDRBS2","8T",0.0363163158706143,"ENSG00000112232"
"246","KLF4","8T",0.0317368433025675,"ENSG00000136826"
"247","KYNU","8T",0.060034822442064,"ENSG00000115919"
"248","LILRA2","8T",0.0612600243379886,"ENSG00000239998"
"249","LINC00589","8T",0.0924577059286315,"ENSG00000251191"
"250","LPAR1","8T",0.0748970469764969,"ENSG00000198121"
"251","LRRC25","8T",0.0862410501489299,"ENSG00000175489"
"252","MAFB","8T",0.084226463068485,"ENSG00000204103"
"254","MARCKS","8T",0.043679276573945,"ENSG00000277443"
"255","MCEMP1","8T",0.0870157877678503,"ENSG00000183019"
"256","MEF2C","8T",0.0686775851618998,"ENSG00000081189"
"257","MEFV","8T",0.0968369131897999,"ENSG00000103313"
"258","MIR1207","8T",0.0869599374129593,"ENSG00000221176"
"259","MIR3945","8T",0.0802598737350124,"ENSG00000266698"
"260","MS4A7","8T",0.0761814926415172,"ENSG00000166927"
"261","NAPSB","8T",0.0644586884847788,"ENSG00000291230"
"262","NCF2","8T",0.0822162964421122,"ENSG00000116701"
"263","NCF4","8T",0.0950991374194818,"ENSG00000100365"
"264","NFAM1","8T",0.0530228362689274,"ENSG00000235568"
"267","P2RY12","8T",0.0486166164106273,"ENSG00000169313"
"268","PDE4B","8T",0.0581903175675263,"ENSG00000184588"
"269","PDGFC","8T",0.0953920981101515,"ENSG00000145431"
"270","PDK4","8T",0.0541567813470578,"ENSG00000004799"
"271","PFKFB4","8T",0.089646344754713,"ENSG00000114268"
"272","PILRA","8T",0.0977614105643113,"ENSG00000085514"
"273","PLA2G7","8T",0.0813943347108982,"ENSG00000146070"
"274","PLXDC2","8T",0.096341991991085,"ENSG00000120594"
"275","PMFBP1","8T",0.0272842059240219,"ENSG00000118557"
"276","PRAM1","8T",0.0938029931057833,"ENSG00000133246"
"277","RAB32","8T",0.0796726620042554,"ENSG00000118508"
"278","RHEX","8T",0.0664141123645418,"ENSG00000263961"
"279","SGMS2","8T",0.0695431861337386,"ENSG00000164023"
"280","SIGLEC12","8T",0.0708597042001591,"ENSG00000254521"
"281","SIRPB2","8T",0.051769862751801,"ENSG00000196209"
"282","SLC11A1","8T",0.0790382278137638,"ENSG00000018280"
"283","SLC6A12","8T",0.0955935142635788,"ENSG00000111181"
"284","SPATC1","8T",0.0606058214472271,"ENSG00000186583"
"285","SPI1","8T",0.065867234571703,"ENSG00000066336"
