"","gene.symbol","cell.type","gene.weight","ensembl.id"
"220","ZSCAN5B","B",10.161012955489,"ENSG00000197213"
"221","SRFBP1","B",12.7724577700162,"ENSG00000151304"
"222","KRT6C","B",10.3253579184442,"ENSG00000170465"
"223","FCRL2","B",29.1933784791817,"ENSG00000132704"
"224","ECM2","B",10.6491834716855,"ENSG00000106823"
"225","NAA50","B",29.3372509117716,"ENSG00000121579"
"226","PSG1","B",16.1171216586102,"ENSG00000231924"
"227","MS4A4E","B",10.2494344119958,"ENSG00000214787"
"228","ING3","B",10.8470094144284,"ENSG00000071243"
"229","CIAPIN1","B",9.34300198801579,"ENSG00000005194"
"230","RHBDL2","B",19.9534213869703,"ENSG00000158315"
"231","MTRNR2L8","B",20.6086378338839,NA
"232","TRMU","B",14.1400733251264,"ENSG00000100416"
"233","GTPBP10","B",15.8350958019693,"ENSG00000105793"
"234","ZNF280A","B",35.6603934905049,"ENSG00000169548"
"235","TXNL1","B",13.11030240642,"ENSG00000091164"
"236","SLC51B","B",23.4908872950638,"ENSG00000186198"
"237","ZNF860","B",36.2276781177804,"ENSG00000197385"
"238","DFNA5","B",8.697520350638,NA
"239","MRPS18A","B",11.6730826304985,"ENSG00000096080"
"240","CLEC4M","B",9.5638746073874,"ENSG00000104938"
"241","FCGR2B","B",28.8891375193572,"ENSG00000072694"
"242","CHL1","B",10.6702486342073,"ENSG00000134121"
"243","CEP120","B",12.4399280605501,"ENSG00000168944"
"244","FCRL5","B",14.3237357918382,"ENSG00000143297"
"245","TM6SF2","B",15.1372565471681,"ENSG00000213996"
"246","SIX2","B",18.5618270634221,"ENSG00000170577"
"247","FCRL3","B",12.2787423315718,"ENSG00000160856"
"248","SLIRP","B",7.38577396988786,"ENSG00000119705"
"249","C9orf172","B",19.6725673268295,NA
"250","C1orf64","B",10.9793407879146,NA
"251","SPDYC","B",8.78164950685108,"ENSG00000204710"
"252","BNIP1","B",7.13753726218355,"ENSG00000113734"
"253","TSPAN6","B",7.46150003728868,"ENSG00000000003"
"254","AC004953.1","B",11.4820991240773,NA
"255","SLC46A2","B",7.94008649018808,"ENSG00000119457"
"256","LSM12","B",8.96004452142398,"ENSG00000161654"
"257","CTSA","B",13.4400162402972,"ENSG00000064601"
"258","SH2D5","B",22.8373444138576,"ENSG00000189410"
"259","PTGR2","B",10.1988746396468,"ENSG00000140043"
"260","RPUSD1","B",10.339819776607,"ENSG00000007376"
"261","PPP6C","B",8.52992099209261,"ENSG00000119414"
"262","SPDYE2B","B",29.5855375168125,"ENSG00000173678"
"263","SGO1","B",7.99755495196397,"ENSG00000129810"
"264","FAM98C","B",19.8421531277138,"ENSG00000130244"
