"","gene.symbol","cell.type","gene.weight","ensembl.id"
"32","MUSK","4T",0.0585182607090708,"ENSG00000030304"
"33","PGLYRP4","4T",0.0622729635211382,"ENSG00000163218"
"34","C8A","4T",0.0502751763741568,"ENSG00000157131"
"35","FCRL2","4T",0.0177778257312198,"ENSG00000132704"
"36","SMIM23","4T",0.0260929263473594,"ENSG00000185662"
"37","RDH13","4T",0.0588147432808009,"ENSG00000160439"
"38","MIXL1","4T",0.0209308008425765,"ENSG00000185155"
"39","EPS8L1","4T",0.0427961103289803,"ENSG00000131037"
"40","TREML2","4T",0.0677363255743772,"ENSG00000112195"
"41","PPP1R12C","4T",0.0343963597291596,"ENSG00000125503"
"42","PPP6R1","4T",0.0381867082461676,"ENSG00000105063"
"43","PTPRH","4T",0.0443479654712842,"ENSG00000080031"
"44","ZNF280A","4T",0.0719253893471752,"ENSG00000169548"
"45","CST3","4T",0.0162341234155661,"ENSG00000101439"
"46","CKAP2L","4T",0.0622270013284731,"ENSG00000169607"
"47","FCRL5","4T",0.0414462300296792,"ENSG00000143297"
"48","FCRL3","4T",0.0337582159114883,"ENSG00000160856"
"49","TNNI3","4T",0.00245839318977372,"ENSG00000129991"
"50","CX3CL1","4T",0.0525283394505424,"ENSG00000006210"
"51","DHX35","4T",0.0668647797669133,"ENSG00000101452"
"52","SLC51B","4T",0.0748469989327911,"ENSG00000186198"
"53","SYT5","4T",0.0324185677175897,"ENSG00000129990"
"54","ISOC2","4T",0.0303098712090793,"ENSG00000063241"
"55","SIX2","4T",0.0260043300059975,"ENSG00000170577"
"56","POLE4","4T",0.0152427650509498,"ENSG00000115350"
"57","FITM1","4T",0.0123884950878201,"ENSG00000139914"
"58","CTD-2537I9.19","4T",0.0082780341605986,NA
"59","TISP43","4T",0.0486319377851115,NA
"60","OR2G3","4T",0.026540763146688,"ENSG00000177476"
"61","ERGIC1","4T",0.0707266489568498,"ENSG00000113719"
"62","AC004953.1","4T",0.0631899779585553,NA
"63","ZNF860","4T",0.0632437531490717,"ENSG00000197385"
"64","CRYBA2","4T",0.057946591324431,"ENSG00000163499"
"65","RP11-468E2.6","4T",0.0451382813082775,NA
"66","FCGR2B","4T",0.0668582902904315,"ENSG00000072694"
"67","CTD-2587H24.4","4T",0.0123751161657404,NA
"68","SOX30","4T",0.076714222466076,"ENSG00000039600"
"69","C1orf226","4T",0.0411993551181133,"ENSG00000239887"
"70","KIR2DL4","4T",0.0704001031699583,"ENSG00000189013"
"71","LILRA4","4T",0.0602600063955029,"ENSG00000239961"
"72","EPHA10","4T",0.076108996713887,"ENSG00000183317"
"73","C3orf62","4T",0.025774233552172,"ENSG00000188315"
"74","ZNF169","4T",0.0769966154384287,"ENSG00000175787"
"75","KCTD17","4T",0.0765832939106477,"ENSG00000100379"
"76","RP11-565P22.6","4T",0.0503015718653875,NA
"77","LCP2","4T",0.0535029112392949,"ENSG00000043462"
"78","IL11","4T",0.0632585713978733,"ENSG00000095752"
"79","TMEM132E","4T",0.00446811530531139,"ENSG00000181291"
"80","FAM98C","4T",0.0681300057029038,"ENSG00000130244"
"81","APOBEC1","4T",0.0358585730195821,"ENSG00000111701"
"82","OR5K2","4T",0.0137985233069173,"ENSG00000231861"
"83","KRT1","4T",0.0740723208184931,"ENSG00000167768"
"84","GPX3","4T",0.0733461396802028,"ENSG00000211445"
"85","TMEM238","4T",0.00626428032314514,"ENSG00000233493"
"86","ITPRIPL2","4T",0.059168388414722,"ENSG00000205730"
"87","INTS10","4T",0.0620386354557407,"ENSG00000104613"
"88","CCR2","4T",0.07346839583441,"ENSG00000121807"
"89","AC016549.1","4T",0.0580911776594195,NA
"90","UBE2S","4T",0.0426999791409751,"ENSG00000108106"
"91","SDR42E1","4T",0.0640523344041271,"ENSG00000184860"
"92","WDR5B","4T",0.0700797357780142,"ENSG00000196981"
"93","TP53TG3F","4T",0.025546191506199,"ENSG00000278848"
"94","SCGB1C2","4T",0.0427707104973085,"ENSG00000268320"
"95","FMOD","4T",0.0364222047610711,"ENSG00000122176"
"96","KRTAP2-3","4T",0.0242237156904942,"ENSG00000212724"
"97","OR4D2","4T",0.0227382263321234,"ENSG00000255713"
"98","CLCN1","4T",0.0531682234183107,"ENSG00000188037"
"99","NKX2-5","4T",0.0710367517772613,"ENSG00000183072"
"100","DNAAF3","4T",0.0470006636147645,"ENSG00000167646"
"101","RAB31","8T",0.0532440523547278,"ENSG00000168461"
"102","AZGP1","8T",0.0729176718904887,"ENSG00000160862"
"103","BCCIP","8T",0.032589682817379,"ENSG00000107949"
"104","HUS1","8T",0.0712578045207632,"ENSG00000136273"
"105","IL15","8T",0.038642600795074,"ENSG00000164136"
"106","UROS","8T",0.0235038790785693,"ENSG00000188690"
"107","NCF2","8T",0.0612986608298107,"ENSG00000116701"
"108","DHX32","8T",0.0319121157893131,"ENSG00000089876"
